query_id,query,positive_docs
1,How do I cope with flooding and excess rain on my farm?,8 9 10 7 6
2,How can I adapt my farming to flooding and excess rain?,8 9 10 7 6
3,How does flooding and excess rain affect my crops?,6 8 9 10 7
4,What is the risk of flooding and excess rain to farming?,6 8 9 10 7
5,How do I manage bacterial leaf blight in rice?,40 36 38
6,What should I do about an outbreak of bacterial leaf blight in rice?,40 36 38
7,How can I prevent bacterial leaf blight in rice?,41 37 39 34
8,How do I stop bacterial leaf blight before it hits my rice?,41 37 39 34
9,How does bacterial leaf blight spread in rice?,34 37 39 41
10,What makes bacterial leaf blight get worse on rice?,34 37 39 41
11,What are the symptoms of bacterial leaf blight in rice?,35
12,My rice shows spots and damage — could it be bacterial leaf blight?,35
13,How do I manage bean anthracnose in common bean?,45 47
14,What should I do about an outbreak of bean anthracnose in common bean?,45 47
15,How can I prevent bean anthracnose in common bean?,48 46 43
16,How do I stop bean anthracnose before it hits my common bean?,48 46 43
17,How does bean anthracnose spread in common bean?,43 46 48
18,What makes bean anthracnose get worse on common bean?,43 46 48
19,What are the symptoms of bean anthracnose in common bean?,44
20,My common bean shows spots and damage — could it be bean anthracnose?,44
21,How do I manage blast in rice?,59
22,What should I do about an outbreak of blast in rice?,59
23,How do I manage groundnut rosette disease in groundnut?,105 107 103
24,What should I do about an outbreak of groundnut rosette disease in groundnut?,105 107 103
25,How can I prevent groundnut rosette disease in groundnut?,104 106 108 101
26,How do I stop groundnut rosette disease before it hits my groundnut?,104 106 108 101
27,How does groundnut rosette disease spread in groundnut?,101 104 106 108
28,What makes groundnut rosette disease get worse on groundnut?,101 104 106 108
29,What are the symptoms of groundnut rosette disease in groundnut?,102
30,My groundnut shows spots and damage — could it be groundnut rosette disease?,102
31,How do I manage rice blast in rice?,137 139 135
32,What should I do about an outbreak of rice blast in rice?,137 139 135
33,How can I prevent rice blast in rice?,136 138 140 133
34,How do I stop rice blast before it hits my rice?,136 138 140 133
35,How does rice blast spread in rice?,133 136 138 140
36,What makes rice blast get worse on rice?,133 136 138 140
37,What are the symptoms of rice blast in rice?,134
38,My rice shows spots and damage — could it be rice blast?,134
39,How do I manage rice blast and bacterial leaf blight in rice?,151
40,What should I do about an outbreak of rice blast and bacterial leaf blight in rice?,151
41,How do I manage tomato bacterial wilt in tomato?,161 163 165
42,What should I do about an outbreak of tomato bacterial wilt in tomato?,161 163 165
43,How can I prevent tomato bacterial wilt in tomato?,162 164 166 159
44,How do I stop tomato bacterial wilt before it hits my tomato?,162 164 166 159
45,How does tomato bacterial wilt spread in tomato?,159 162 164 166
46,What makes tomato bacterial wilt get worse on tomato?,159 162 164 166
47,What are the symptoms of tomato bacterial wilt in tomato?,160
48,My tomato shows spots and damage — could it be tomato bacterial wilt?,160
49,How do I manage yam anthracnose in yam?,185 187
50,What should I do about an outbreak of yam anthracnose in yam?,185 187
51,How can I prevent yam anthracnose in yam?,186 188 183
52,How do I stop yam anthracnose before it hits my yam?,186 188 183
53,How does yam anthracnose spread in yam?,183 186 188
54,What makes yam anthracnose get worse on yam?,183 186 188
55,What are the symptoms of yam anthracnose in yam?,184
56,My yam shows spots and damage — could it be yam anthracnose?,184
57,How do I manage rosette disease in groundnut?,191
58,What should I do about an outbreak of rosette disease in groundnut?,191
59,What fertiliser should I use for cowpea?,204 205 206 207 193 194 195 196
60,What is the best fertiliser programme for cowpea?,204 205 206 207 193 194 195 196
61,What fertiliser should I use for maize?,212 213 214 215 216 217 218 219 220 221 222 223 193 194 195 196
62,What is the best fertiliser programme for maize?,212 213 214 215 216 217 218 219 220 221 222 223 193 194 195 196
63,What fertiliser should I use for pearl millet?,224 225 226 193 194 195 196
64,What is the best fertiliser programme for pearl millet?,224 225 226 193 194 195 196
65,What fertiliser should I use for rice?,232 233 230 231 193 194 195 196
66,What is the best fertiliser programme for rice?,232 233 230 231 193 194 195 196
67,What fertiliser should I use for sorghum?,234 235 236 193 194 195 196
68,What is the best fertiliser programme for sorghum?,234 235 236 193 194 195 196
69,What fertiliser should I use for yam?,241 242 243 193 194 195 196
70,What is the best fertiliser programme for yam?,241 242 243 193 194 195 196
71,What causes boron deficiency in cassava?,246 256 257 258 255
72,Why does my cassava get boron deficiency?,246 256 257 258 255
73,How do I fix boron deficiency in cassava?,249 251 253 256 257 258 255
74,What fertiliser corrects boron deficiency in cassava?,249 251 253 256 257 258 255
75,How can I tell boron deficiency in cassava apart from other problems?,247 248 256 257 258 255
76,Is it boron deficiency or another deficiency in my cassava?,247 248 256 257 258 255
77,How do I know if my cassava has boron deficiency?,248 247 256 257 258 255
78,What does boron deficiency look like in cassava?,248 247 256 257 258 255
79,How can I prevent boron deficiency in cassava?,250 252 254 256 257 258 255
80,How do I stop boron deficiency before it hits my cassava?,250 252 254 256 257 258 255
81,What causes iron deficiency in rice?,285 280 281 278 279
82,Why does my rice get iron deficiency?,285 280 281 278 279
83,How do I fix iron deficiency in rice?,288 290 292 280 281 278 279
84,What fertiliser corrects iron deficiency in rice?,288 290 292 280 281 278 279
85,How can I tell iron deficiency in rice apart from other problems?,286 287 280 281 278 279
86,Is it iron deficiency or another deficiency in my rice?,286 287 280 281 278 279
87,How do I know if my rice has iron deficiency?,287 286 280 281 278 279
88,What does iron deficiency look like in rice?,287 286 280 281 278 279
89,How can I prevent iron deficiency in rice?,289 291 293 280 281 278 279
90,How do I stop iron deficiency before it hits my rice?,289 291 293 280 281 278 279
91,What causes nitrogen deficiency in cassava?,333 344 345 342 343
92,Why does my cassava get nitrogen deficiency?,333 344 345 342 343
93,How do I fix nitrogen deficiency in cassava?,336 338 340 344 345 342 343
94,What fertiliser corrects nitrogen deficiency in cassava?,336 338 340 344 345 342 343
95,How can I tell nitrogen deficiency in cassava apart from other problems?,334 335 344 345 342 343
96,Is it nitrogen deficiency or another deficiency in my cassava?,334 335 344 345 342 343
97,How do I know if my cassava has nitrogen deficiency?,335 334 344 345 342 343
98,What does nitrogen deficiency look like in cassava?,335 334 344 345 342 343
99,How can I prevent nitrogen deficiency in cassava?,337 339 341 344 345 342 343
100,How do I stop nitrogen deficiency before it hits my cassava?,337 339 341 344 345 342 343
101,What causes nitrogen deficiency in pearl millet?,351 336 333 334 335
102,Why does my pearl millet get nitrogen deficiency?,351 336 333 334 335
103,How do I fix nitrogen deficiency in pearl millet?,354 356 336 333 334 335
104,What fertiliser corrects nitrogen deficiency in pearl millet?,354 356 336 333 334 335
105,How can I tell nitrogen deficiency in pearl millet apart from other problems?,352 353 336 333 334 335
106,Is it nitrogen deficiency or another deficiency in my pearl millet?,352 353 336 333 334 335
107,How do I know if my pearl millet has nitrogen deficiency?,353 352 336 333 334 335
108,What does nitrogen deficiency look like in pearl millet?,353 352 336 333 334 335
109,How can I prevent nitrogen deficiency in pearl millet?,355 357 336 333 334 335
110,How do I stop nitrogen deficiency before it hits my pearl millet?,355 357 336 333 334 335
111,What causes nitrogen deficiency in rice?,365 336 333 334 335
112,Why does my rice get nitrogen deficiency?,365 336 333 334 335
113,How do I fix nitrogen deficiency in rice?,368 370 372 336 333 334 335
114,What fertiliser corrects nitrogen deficiency in rice?,368 370 372 336 333 334 335
115,How can I tell nitrogen deficiency in rice apart from other problems?,366 367 336 333 334 335
116,Is it nitrogen deficiency or another deficiency in my rice?,366 367 336 333 334 335
117,How do I know if my rice has nitrogen deficiency?,367 366 336 333 334 335
118,What does nitrogen deficiency look like in rice?,367 366 336 333 334 335
119,How can I prevent nitrogen deficiency in rice?,369 371 373 336 333 334 335
120,How do I stop nitrogen deficiency before it hits my rice?,369 371 373 336 333 334 335
121,What causes nitrogen deficiency in tomato?,381 336 333 334 335
122,Why does my tomato get nitrogen deficiency?,381 336 333 334 335
123,How do I fix nitrogen deficiency in tomato?,384 386 388 336 333 334 335
124,What fertiliser corrects nitrogen deficiency in tomato?,384 386 388 336 333 334 335
125,How can I tell nitrogen deficiency in tomato apart from other problems?,382 383 336 333 334 335
126,Is it nitrogen deficiency or another deficiency in my tomato?,382 383 336 333 334 335
127,How do I know if my tomato has nitrogen deficiency?,383 382 336 333 334 335
128,What does nitrogen deficiency look like in tomato?,383 382 336 333 334 335
129,How can I prevent nitrogen deficiency in tomato?,385 387 389 336 333 334 335
130,How do I stop nitrogen deficiency before it hits my tomato?,385 387 389 336 333 334 335
131,What causes phosphorus deficiency in maize?,422 400 397 398 399
132,Why does my maize get phosphorus deficiency?,422 400 397 398 399
133,How do I fix phosphorus deficiency in maize?,425 427 429 400 397 398 399
134,What fertiliser corrects phosphorus deficiency in maize?,425 427 429 400 397 398 399
135,How can I tell phosphorus deficiency in maize apart from other problems?,423 424 400 397 398 399
136,Is it phosphorus deficiency or another deficiency in my maize?,423 424 400 397 398 399
137,How do I know if my maize has phosphorus deficiency?,424 423 400 397 398 399
138,What does phosphorus deficiency look like in maize?,424 423 400 397 398 399
139,How can I prevent phosphorus deficiency in maize?,426 428 430 400 397 398 399
140,How do I stop phosphorus deficiency before it hits my maize?,426 428 430 400 397 398 399
141,What causes phosphorus deficiency in rice?,431 400 397 398 399
142,Why does my rice get phosphorus deficiency?,431 400 397 398 399
143,How do I fix phosphorus deficiency in rice?,434 436 438 400 397 398 399
144,What fertiliser corrects phosphorus deficiency in rice?,434 436 438 400 397 398 399
145,How can I tell phosphorus deficiency in rice apart from other problems?,432 433 400 397 398 399
146,Is it phosphorus deficiency or another deficiency in my rice?,432 433 400 397 398 399
147,How do I know if my rice has phosphorus deficiency?,433 432 400 397 398 399
148,What does phosphorus deficiency look like in rice?,433 432 400 397 398 399
149,How can I prevent phosphorus deficiency in rice?,435 437 439 400 397 398 399
150,How do I stop phosphorus deficiency before it hits my rice?,435 437 439 400 397 398 399
151,What causes phosphorus deficiency in sorghum?,440 400 397 398 399
152,Why does my sorghum get phosphorus deficiency?,440 400 397 398 399
153,How do I fix phosphorus deficiency in sorghum?,443 445 400 397 398 399
154,What fertiliser corrects phosphorus deficiency in sorghum?,443 445 400 397 398 399
155,How can I tell phosphorus deficiency in sorghum apart from other problems?,441 442 400 397 398 399
