document_id,title,text,source,crop,country,origin,source_url,license
1,Drought and erratic rainfall: the risk to crops,"Drought and erratic rainfall and its impact on farming. Late, short or broken rains cause poor germination, wilting at flowering, and sharp yield loss, especially on sandy low-organic soils.",FAO,(general),Kenya,synthetic,,synthetic (CC0)
2,Adapting to drought and erratic rainfall (Guinea savanna),"Adapting to drought and erratic rainfall in the Guinea savanna, with one long rainy season and moderately fertile soils. Grow early-maturing drought-tolerant varieties, mulch to conserve moisture, harvest rainwater into basins/zai pits, plant on the first reliable rains, and space to match the season. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",IITA,(general),Tanzania,synthetic,,synthetic (CC0)
3,Adapting to drought and erratic rainfall (Highlands),"Adapting to drought and erratic rainfall in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases. Grow early-maturing drought-tolerant varieties, mulch to conserve moisture, harvest rainwater into basins/zai pits, plant on the first reliable rains, and space to match the season. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",ICRISAT,(general),Nigeria,synthetic,,synthetic (CC0)
4,Adapting to drought and erratic rainfall (Humid forest),"Adapting to drought and erratic rainfall in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high. Grow early-maturing drought-tolerant varieties, mulch to conserve moisture, harvest rainwater into basins/zai pits, plant on the first reliable rains, and space to match the season. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",FAO,(general),Mali,synthetic,,synthetic (CC0)
5,Adapting to drought and erratic rainfall (Sahel),"Adapting to drought and erratic rainfall in the hot semi-arid Sahel, where rains are short and erratic and sandy soils leach nutrients quickly. Grow early-maturing drought-tolerant varieties, mulch to conserve moisture, harvest rainwater into basins/zai pits, plant on the first reliable rains, and space to match the season. Because sandy Sahelian soils leach fast, split applications finely, micro-dose into the planting hole, and conserve every drop of moisture with mulch and tied ridges.",FAO,(general),Tanzania,synthetic,,synthetic (CC0)
6,Flooding and excess rain: the risk to crops,"Flooding and excess rain and its impact on farming. Heavy downpours waterlog roots, wash away seed and fertiliser, and spread water-borne disease, drowning crops on flat ground.",National Extension Service,(general),Mali,synthetic,,synthetic (CC0)
7,Adapting to flooding and excess rain (Guinea savanna),"Adapting to flooding and excess rain in the Guinea savanna, with one long rainy season and moderately fertile soils. Plant on ridges or raised beds, open drainage channels, choose flood-tolerant varieties, and stagger planting to spread risk. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",FAO,(general),Tanzania,synthetic,,synthetic (CC0)
8,Adapting to flooding and excess rain (Highlands),"Adapting to flooding and excess rain in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases. Plant on ridges or raised beds, open drainage channels, choose flood-tolerant varieties, and stagger planting to spread risk. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",AGRA,(general),Ghana,synthetic,,synthetic (CC0)
9,Adapting to flooding and excess rain (Humid forest),"Adapting to flooding and excess rain in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high. Plant on ridges or raised beds, open drainage channels, choose flood-tolerant varieties, and stagger planting to spread risk. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",FAO,(general),Nigeria,synthetic,,synthetic (CC0)
10,Adapting to flooding and excess rain (Sahel),"Adapting to flooding and excess rain in the hot semi-arid Sahel, where rains are short and erratic and sandy soils leach nutrients quickly. Plant on ridges or raised beds, open drainage channels, choose flood-tolerant varieties, and stagger planting to spread risk. Because sandy Sahelian soils leach fast, split applications finely, micro-dose into the planting hole, and conserve every drop of moisture with mulch and tied ridges.",FAO,(general),Tanzania,synthetic,,synthetic (CC0)
11,Heat stress: the risk to crops,"Heat stress and its impact on farming. Spells above critical temperatures at flowering cause pollen sterility, flower and fruit drop, and shrivelled grain.",CGIAR,(general),Ghana,synthetic,,synthetic (CC0)
12,Adapting to heat stress (Guinea savanna),"Adapting to heat stress in the Guinea savanna, with one long rainy season and moderately fertile soils. Shift planting so flowering avoids the hottest period, use heat-tolerant varieties, provide shade/mulch, and keep soil moisture steady through flowering. In the Guinea savanna, time operations to the single rains, top-dress at the onset of steady rainfall, and use the long season for a full-duration variety.",FAO,(general),Tanzania,synthetic,,synthetic (CC0)
13,Adapting to heat stress (Highlands),"Adapting to heat stress in the cool highlands, where heavy dew and mild temperatures favour foliar fungal diseases. Shift planting so flowering avoids the hottest period, use heat-tolerant varieties, provide shade/mulch, and keep soil moisture steady through flowering. In the highlands, the long dewy nights drive foliar disease, so prioritise resistant varieties, wider spacing for airflow, and early scouting.",Plantwise,(general),Mali,synthetic,,synthetic (CC0)
14,Adapting to heat stress (Humid forest),"Adapting to heat stress in the humid forest zone, where heavy rainfall leaches and acidifies soils and fungal pressure is high. Shift planting so flowering avoids the hottest period, use heat-tolerant varieties, provide shade/mulch, and keep soil moisture steady through flowering. In the humid forest, correct soil acidity with lime, watch for rapid fungal spread under the canopy, and improve drainage on the heavy leached soils.",Plantwise,(general),Mali,synthetic,,synthetic (CC0)
15,Adapting to heat stress (Sahel),"Adapting to heat stress in the hot semi-arid Sahel, where rains are short and erratic and sandy soils leach nutrients quickly. Shift planting so flowering avoids the hottest period, use heat-tolerant varieties, provide shade/mulch, and keep soil moisture steady through flowering. Because sandy Sahelian soils leach fast, split applications finely, micro-dose into the planting hole, and conserve every drop of moisture with mulch and tied ridges.",National Extension Service,(general),Tanzania,synthetic,,synthetic (CC0)
16,Shifting seasons: the risk to crops,Shifting seasons and its impact on farming. Changing onset and length of the rainy season makes traditional planting calendars unreliable and raises the risk of a failed crop.,Plantwise,(general),Mali,synthetic,,synthetic (CC0)
